,x,y,z,roi_number_fs
L_inferiortemporal_thickavg,-51.441666,-35.262773,-21.730991 ,1009
L_insula_thickavg,-35.346697,-0.075281,-1.342082 ,1035
L_isthmuscingulate_thickavg,-7.128319,-45.676622,18.305678 ,1010
L_lateraloccipital_thickavg,-31.244877,-87.829417,0.064909 ,1011
L_lateralorbitofrontal_thickavg,-23.880827,30.629277,-17.652928 ,1012
L_lingual_thickavg,-11.220837,-71.206024,-5.002592 ,1013
L_medialorbitofrontal_thickavg,-6.93276,33.218926,-16.033883 ,1014
L_middletemporal_thickavg,-58.889342,-23.915237,-12.759950 ,1015
L_paracentral_thickavg,-40.167681,-6.95688,43.167108 ,1024
L_parahippocampal_thickavg,-22.556868,-33.26041,-15.128651 ,1016
L_parsopercularis_thickavg,-47.873788,18.014347,13.880768 ,1018
L_parsorbitalis_thickavg,-42.119625,38.133248,-13.535121 ,1019
L_parstriangularis_thickavg,-46.468299,35.285924,1.703305 ,1020
L_pericalcarine_thickavg,-10.05754,-81.433622,5.085370 ,1021
L_postcentral_thickavg,-43.688129,-24.247887,47.465996 ,1022
L_posteriorcingulate_thickavg,-6.11706,-19.274071,35.793847 ,1023
L_precentral_thickavg,-40.167681,-6.95688,43.167108 ,1024
L_precuneus_thickavg,-7.967967,-58.726399,37.171189 ,1025
L_rostralanteriorcingulate_thickavg,-5.77512,35.801435,2.136962 ,1026
L_rostralmiddlefrontal_thickavg,-31.141548,47.932219,18.151213 ,1027
L_superiorfrontal_thickavg,-9.713055,27.446906,44.404719 ,1028
L_superiorparietal_thickavg,-21.085457,-66.771326,49.278269 ,1029
L_superiortemporal_thickavg,-52.840087,-10.356396,-4.423724 ,1030
L_supramarginal_thickavg,-54.095179,-36.452366,32.436651 ,1031
L_temporalpole_thickavg,-28.801592,12.38237,-37.895637 ,1033
L_transversetemporal_thickavg,-43.274165,-22.724077,7.544815 ,1034
RThickness,,,,skip
R_bankssts_thickavg,53.482823,-38.537164,8.178014 ,2001
R_caudalanteriorcingulate_thickavg,6.296188,20.585337,26.366569 ,2002
R_caudalmiddlefrontal_thickavg,38.019312,11.212431,48.794710 ,2003
R_cuneus_thickavg,7.124086,-80.323656,18.177849 ,2005
R_entorhinal_thickavg,22.896552,-3.77509,-33.648996 ,2006
R_frontalpole_thickavg,8.36922,65.273844,-10.843208 ,2032
R_fusiform_thickavg,35.744839,-38.339497,-24.187066 ,2007
R_inferiorparietal_thickavg,47.454148,-60.764978,33.973743 ,2008
R_inferiortemporal_thickavg,51.425572,-29.15074,-24.809332 ,2009
R_insula_thickavg,36.849978,1.527806,-1.804570 ,2035
R_isthmuscingulate_thickavg,8.724294,-44.820716,16.496422 ,2010
R_lateraloccipital_thickavg,34.822412,-83.93178,1.859789 ,2011
R_lateralorbitofrontal_thickavg,22.931751,31.816142,-18.383264 ,2012
R_lingual_thickavg,14.421552,-68.010139,-5.383206 ,2013
R_medialorbitofrontal_thickavg,6.268374,37.71853,-16.646403 ,2014
R_middletemporal_thickavg,59.206963,-22.57709,-13.290951 ,2015
R_paracentral_thickavg,7.232314,-24.079872,56.411000 ,2017
R_parahippocampal_thickavg,22.943408,-29.875376,-16.819386 ,2016
R_parsopercularis_thickavg,48.745754,15.607098,11.219265 ,2018
R_parsorbitalis_thickavg,44.11599,39.788991,-12.037680 ,2019
R_parstriangularis_thickavg,48.834555,33.629698,6.136801 ,2020
R_pericalcarine_thickavg,12.122155,-79.347868,6.300417 ,2021
R_postcentral_thickavg,46.689473,-18.628376,42.468011 ,2022
R_posteriorcingulate_thickavg,6.823854,-18.790417,37.506032 ,2023
R_precentral_thickavg,10.019617,-57.148628,38.020584 ,2025
R_precuneus_thickavg,7.061781,36.506965,5.729255 ,2026
R_rostralanteriorcingulate_thickavg,7.061781,36.506965,5.729255 ,2026
R_rostralmiddlefrontal_thickavg,34.186374,46.692881,17.653782 ,2027
R_superiorfrontal_thickavg,12.221852,30.751035,44.209350 ,2028
R_superiorparietal_thickavg,24.190635,-61.640736,53.051839 ,2029
R_superiortemporal_thickavg,54.558741,-6.551091,-5.166439 ,2030
R_supramarginal_thickavg,56.63962,-28.291141,31.824138 ,2031
R_temporalpole_thickavg,30.301516,15.597519,-35.567195 ,2033
R_transversetemporal_thickavg,45.295327,-19.094393,7.744860 ,2034
